"HOOC-(CHn)m-COOH (m>2, n in 0..2)",0.000000,13.471200,0.005800,-7.370200,-0.236600,-0.000300,-2.766100,0.000000,-0.183900,-11.380000,0.000000,0.000000,0.000000,0.171800,2.572100,0.276800,-1.148500,-0.000700,-0.010000
"NHn-(CHn)m-COOH (m>2, n in 0..2)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.305700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"NH2-(CHn)m-OH (m>2, n in 0..2)",0.000000,5.588200,0.001700,-27.799000,0.347500,0.000300,3.558900,0.000000,0.005400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.563900,0.011400,-0.004800
"OH-(CHn)m-OH (m>2, n in 0..2)",0.000000,4.138400,-0.000600,-6.679500,-0.377900,0.001200,8.097800,0.000000,-0.908900,27.480300,1.316600,1.561300,-6.200200,0.328900,2.809200,-2.454200,1.911000,0.002500,-0.001900
"OH-(CHp)k-O-(CHn)m-OH (m,k>0; p,n in 0..2)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"OH-(CHp)k-S-(CHn)m-OH (m,k>0; p,n in 0..2)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"OH-(CHp)k-NHx-(CHn)m-OH (m,k>0; p,n,x in 0..2)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"CHp-O-(CHn)m-OH (m>2; n,p in 0..2)",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
NH2-(CHn)m-NH2 (m>2; n in 0..2)),0.082800,-1.863200,0.013500,-3.230700,0.264000,0.000300,0.755400,0.000000,0.724500,0.000000,3.101000,1.892600,1.883800,0.000000,0.000000,0.000000,-0.478000,-0.001900,0.017500
NHk-(CHn)m-NH2 (m>2; k in 0..1; n in 0..2),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
SH-(CHn)m-SH (m>2; n in 0..2),0.265500,0.000000,0.000000,0.000000,-0.628000,0.000000,0.000000,0.000000,0.000000,0.000000,1.557600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
NC-(CHn)m-CN (m>2),0.000000,16.617100,0.025800,-6.002300,-0.128600,-0.001100,-5.730300,0.000000,-0.719300,-2.362300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.832300,0.000600,0.001400
COO-(CHn)m-OOC (m>2; n in 0..2),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"aC-(CHn=CHm)cyc (fused rings) (n,m in 0..1)",-0.059100,-9.241900,0.003500,-4.167900,0.071900,0.000300,2.073400,0.000000,-0.032900,0.000000,0.000000,0.000000,0.000000,0.171500,0.731700,0.950700,0.556900,0.001100,-0.002800
aC-aC (different rings),0.027300,-2.359900,-0.013300,29.655800,0.002700,-0.001100,-5.105200,0.000000,0.142400,-2.919700,0.000000,0.000000,0.000000,1.462900,1.422200,-1.085100,0.480900,0.000400,0.002000
aC-CHncyc (different rings) (n in 0..1),-0.213000,-2.778900,0.004000,0.000000,-0.203300,-0.000600,-4.693400,0.000000,0.004200,0.000000,0.000000,0.000000,0.000000,0.571800,0.111400,-3.586100,0.578700,-0.001000,-0.000100
aC-CHncyc (fused rings) (n in 0..1),-0.011100,-6.142900,-0.001600,-9.111700,-0.217900,-0.000200,8.075000,0.000000,-0.107000,0.000000,-1.059300,0.844500,2.093800,1.132400,-0.352900,0.930600,0.451800,0.000300,-0.003700
aC-(CHn)m-aC (different rings) (m>1; n in 0..2),0.413000,11.829900,0.001000,-5.363500,-0.086000,-0.001100,2.144100,12.023700,0.381600,8.116500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.880900,-0.005200,-0.003700
aC-(CHn)m-CHcyc (different rings) (m>0; n in 0..2),-0.332300,0.000000,0.000000,0.000000,-1.128100,0.000000,0.000000,0.000000,-0.080500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CHcyc-CHcyc (different rings),-0.002300,6.202500,0.003500,0.000000,0.755900,0.000000,0.000000,0.000000,0.425200,4.421500,0.000000,0.000000,0.000000,-0.511900,3.131700,-9.760200,0.000000,-0.005700,0.000000
CHcyc-(CHn)m-CHcyc (different rings) (m>0; n in 0..2),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CH multiring,0.137100,1.997600,-0.003300,0.765500,0.216600,-0.000500,-2.948900,0.000000,-0.041900,4.936000,-0.498400,0.006200,-0.032000,1.959500,-0.132400,-0.432900,-0.086300,-0.001300,0.000700
C multiring,0.033100,0.000000,0.000000,0.000000,0.094300,0.000000,0.000000,0.000100,-0.029100,-7.741600,-0.378300,0.063300,0.262200,-0.321800,1.848300,-0.619000,0.310700,0.000500,-0.002600
aC-CHm-aC (different rings) (m in 0..2),-0.034300,0.682700,0.004100,-18.346000,-0.119900,0.000200,1.400100,0.000000,-0.103400,11.705100,0.000000,0.000000,0.000000,-0.542000,0.739400,-2.353900,-0.344700,-0.000100,-0.001300
"aC-(CHm=CHn)-aC (different rings) (m,n in 0..2)",0.253400,1.849200,0.002500,6.222600,0.837800,-0.431000,-1.375800,3.556900,0.183300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074500,0.000400,-0.004300
(CHm=C)cyc-CH=CH-(C=CHn)cyc (different rings),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
(CHm=C)cyc-CHp-(C=CHn)cyc (different rings),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.665700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
aC-CO-aC (different rings),0.021400,0.527200,0.000000,-13.931000,-0.282700,0.008500,13.266900,0.000000,0.116400,0.000000,0.000000,0.000000,0.000000,-0.140100,1.806200,3.178200,0.000000,-0.005100,-0.007300
aC-CHm-CO-aC (different rings) (m in 0..2),0.021400,0.000000,0.000000,0.000000,0.011400,0.000000,0.000000,0.000000,0.223800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.760400,-1.117400,0.000000,0.000000
aC-CO-(C=CHn)cyc (different rings) (n in 0..1),-0.173600,0.000000,0.000000,0.000000,-0.116500,0.000000,0.000000,0.000000,0.247300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
aC-CO-CO-aC (different rings),0.000000,0.000000,0.000000,0.000000,2.465300,0.000000,0.000000,0.000000,0.851800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
aC-COcyc (fused rings),0.114200,0.000000,0.000000,0.000000,0.321700,0.000000,32.358100,0.798300,0.003000,-0.553600,0.000000,0.000000,0.000000,0.454300,-0.331300,-0.235700,-1.780300,-0.002100,0.004300
aC-CO-(CHn)m-CO-aC (different rings)  (m>0; n in 0..2),0.000000,0.000000,0.000000,0.000000,-0.990000,0.000000,0.153400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
aC-CO-CHncyc (different rings) (n in 0..1),0.195900,0.000000,0.000000,0.000000,-3.838800,0.000000,0.000000,0.000000,0.677800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
aC-CO-NHn-aC (different rings) (n in 0..1),0.000000,0.000000,0.000000,0.000000,0.498600,0.000000,0.000000,0.000000,0.473200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"aC-NHnCONHm-aC (different rings) (n,m in 0..1)",0.000000,0.000000,0.000000,0.000000,2.776500,0.000000,0.000000,0.000000,0.177000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
aC-CO-Ncyc (different rings),0.000000,0.000000,0.000000,0.000000,0.027000,0.000000,0.000000,0.000000,0.202900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
aC-Scyc (fused rings),-0.103000,12.135400,0.007200,-19.926000,-0.104100,10.828100,14.338600,0.000000,-0.015300,0.000000,0.000000,0.000000,0.000000,0.151900,-8.186500,-1.442000,-0.066700,-0.000700,-0.000800
aC-S-aC (different rings),0.230800,0.000000,0.000000,0.000000,0.523200,0.000000,0.000000,0.000000,0.351500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
aC-POn-aC (different rings) (n in 0..4),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
aC-SOn-aC (different rings) (n in 1..4),0.000000,0.000000,0.000000,0.000000,1.927100,0.000000,0.000000,0.000000,-0.353600,0.000000,0.000000,0.000000,0.000000,0.250000,-1.060600,-2.605300,0.000000,0.000000,0.000000
aC-NHncyc (fused rings) (n in 0..1),0.129600,3.550000,0.015700,0.000000,0.389600,-0.014000,-8.061600,-0.000100,0.058400,0.000000,0.000000,0.000000,0.000000,0.853500,1.128200,0.717300,0.149600,0.000700,-0.001300
aC-NH-aC (different rings),0.158800,5.773800,0.011600,-8.490900,0.348200,-0.000900,-12.488000,0.000000,0.265700,6.401600,0.000000,0.000000,0.000000,-0.261700,-0.238200,-3.553600,-0.701700,-0.000600,0.003900
aC-(C=N)cyc (different rings),-0.304500,0.000000,0.000000,0.000000,-2.451100,0.000000,0.000000,0.000000,-0.122100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
aC-(N=CHn)cyc (fused rings) (n in 0..1),-0.036300,0.000000,0.000000,0.000000,1.003900,0.000000,-32.340000,0.000000,0.018100,0.000000,0.000000,0.000000,0.000000,0.563700,1.523000,0.289900,0.000000,-0.000600,0.026400
aC-(CHn=N)cyc (fused rings) (n in 0..1),0.000000,0.000000,0.000000,0.000000,0.503300,0.000000,40.809100,0.000000,-0.670800,0.000000,0.000000,0.000000,0.000000,1.613900,-0.944100,-0.074300,0.000000,0.000000,0.000000
aC-O-CHn-aC (different rings) (n in 0..2),0.000000,0.000000,0.000000,0.000000,0.365100,0.000000,0.000000,0.000000,-0.066100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
aC-O-aC (different rings),-0.241700,-3.743700,0.009200,-19.169000,-1.180900,2.409400,-8.521000,-4.757600,0.163500,0.000000,0.000000,0.000000,0.000000,-0.338100,-1.113100,-1.351400,-2.235000,-0.008600,0.001700
"aC-CHn-O-CHm-aC (different rings) (n,m in 0..2)",-0.039200,-0.159500,0.001800,5.636400,-0.404000,0.000000,-2.085700,0.000000,-0.349900,0.000000,0.000000,0.000000,0.000000,0.066300,0.743700,1.925900,3.752800,0.007800,0.000500
aC-Ocyc (fused rings),0.042100,5.155700,0.000000,-19.199000,0.004800,0.000000,6.611300,0.000000,0.114700,0.000000,0.000000,0.000000,0.000000,0.607500,0.021000,-0.511500,-0.598300,-0.008400,0.007400
AROM.FUSED[2],0.016600,-3.945700,-0.001600,8.604200,-0.334400,-0.009600,0.875500,0.000000,0.028500,1.249500,1.128200,-1.688800,-4.187900,-1.100100,-0.231700,2.629400,0.317700,0.001400,0.004800
AROM.FUSED[2]s1,-0.037800,2.163000,-0.003500,-19.985000,-0.078400,-0.000300,-10.583000,0.000000,0.051200,-2.589900,-2.000100,3.377800,8.375400,1.045800,0.565300,0.840500,0.127000,-0.000500,-0.007600
AROM.FUSED[2]s2,-0.059200,-1.189800,-0.001500,-9.461900,0.147900,-0.000800,-4.584100,0.000000,0.014600,1.424500,0.000000,0.000000,0.000000,-1.764100,-0.874700,0.018900,-0.388800,0.000400,0.005200
AROM.FUSED[2]s2s3,0.076000,25.003400,0.000000,0.000000,1.095100,0.000000,0.000000,3.464200,-0.081400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AROM.FUSED[2]s1s4,-0.173100,0.000000,0.000000,0.000000,0.155000,0.000000,0.000000,0.876500,0.063500,0.000000,2.601800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AROM.FUSED[2]s1s2,0.033900,0.000000,0.000000,0.000000,-0.432400,0.000000,0.000000,0.000000,-0.114900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
